Record ID,Employee ID,Employee Name,Team,Process,Date,Shift,Records Received,Records Processed,Records Pending,Errors,Rework,SLA Target,SLA Achieved,Processing Time,Working Hours,Quality Score,Attendance,Status
REC000016,EMP016,Employee 016,Team B,Data Entry,2026-07-01,Night,0,0,0,0,0,95,0,4.57,0.0,99.31,Leave,Pending
REC000017,EMP017,Employee 017,Team B,Data Entry,2026-07-01,Afternoon,128,77,51,7,5,95,66,3.3,8.0,91.17,Present,Partial
REC000018,EMP018,Employee 018,Team B,Data Entry,2026-07-01,Morning,165,99,66,5,1,95,89,4.94,7.5,94.53,Late,Partial
REC000019,EMP019,Employee 019,Team B,Data Entry,2026-07-01,Night,175,105,70,2,2,95,104,6.49,8.0,98.12,Present,Partial
REC000020,EMP020,Employee 020,Team B,Data Entry,2026-07-01,Afternoon,41,27,14,3,0,95,21,5.0,4.0,89.46,Half Day,Partial
REC000021,EMP021,Employee 021,Team C,Application Processing,2026-07-01,Afternoon,189,132,57,3,4,95,120,4.29,8.0,97.98,Present,Partial
REC000022,EMP022,Employee 022,Team C,Application Processing,2026-07-01,General,113,79,34,5,1,95,74,3.55,8.0,93.97,Present,Partial
REC000023,EMP023,Employee 023,Team C,Application Processing,2026-07-01,Night,149,104,45,3,4,95,102,2.8,8.0,97.4,Present,Partial
REC000024,EMP024,Employee 024,Team C,Application Processing,2026-07-01,Night,88,62,26,3,2,95,55,3.74,8.0,95.17,Present,Partial
REC000025,EMP025,Employee 025,Team C,Application Processing,2026-07-01,Afternoon,98,68,30,4,1,95,62,6.66,8.0,93.4,Present,Partial
REC000026,EMP026,Employee 026,Team C,Application Processing,2026-07-01,Afternoon,143,100,43,2,1,95,92,6.28,8.0,98.33,Present,Partial
REC000027,EMP027,Employee 027,Team C,Application Processing,2026-07-01,Afternoon,95,66,29,3,1,95,57,3.19,8.0,95.58,Present,Partial
REC000028,EMP028,Employee 028,Team C,Application Processing,2026-07-01,Morning,86,60,26,5,0,95,46,4.96,8.0,91.96,Present,Partial
REC000029,EMP029,Employee 029,Team C,Application Processing,2026-07-01,Morning,157,110,47,3,2,95,109,3.49,8.0,97.28,Present,Partial
REC000030,EMP030,Employee 030,Team C,Application Processing,2026-07-01,General,112,79,33,5,2,95,63,6.01,8.0,93.34,Present,Partial
REC000031,EMP031,Employee 031,Team D,Quality Review,2026-07-01,General,102,90,12,6,2,95,81,5.62,7.5,93.19,Late,Partial
REC000032,EMP032,Employee 032,Team D,Quality Review,2026-07-01,Afternoon,41,36,5,3,1,95,28,6.18,8.0,90.7,Present,Partial
REC000033,EMP033,Employee 033,Team D,Quality Review,2026-07-01,Morning,0,0,0,0,0,95,0,4.67,0.0,94.74,Leave,Pending
REC000034,EMP034,Employee 034,Team D,Quality Review,2026-07-01,Night,93,82,11,6,4,95,74,3.51,8.0,92.19,Present,Partial
REC000035,EMP035,Employee 035,Team D,Quality Review,2026-07-01,Morning,105,92,13,5,2,95,88,5.25,7.5,94.25,Late,Partial
REC000036,EMP036,Employee 036,Team D,Quality Review,2026-07-01,Night,93,82,11,5,2,95,77,3.95,8.0,94.19,Present,Partial
REC000037,EMP037,Employee 037,Team D,Quality Review,2026-07-01,Afternoon,138,122,16,2,3,95,115,3.95,8.0,98.13,Present,Partial
REC000038,EMP038,Employee 038,Team D,Quality Review,2026-07-01,General,96,85,11,6,3,95,81,4.42,8.0,93.27,Present,Partial
REC000039,EMP039,Employee 039,Team D,Quality Review,2026-07-01,Morning,98,87,11,2,2,95,80,4.97,8.0,97.78,Present,Partial
REC000040,EMP040,Employee 040,Team D,Quality Review,2026-07-01,Night,52,44,8,5,0,95,37,5.93,8.0,88.58,Present,Partial
REC000041,EMP001,Employee 001,Team A,Document Verification,2026-07-02,General,116,70,46,3,1,95,66,4.93,8.0,95.96,Present,Partial
REC000042,EMP002,Employee 002,Team A,Document Verification,2026-07-02,General,0,0,0,0,0,95,0,4.32,0.0,94.89,Leave,Pending
REC000043,EMP003,Employee 003,Team A,Document Verification,2026-07-02,General,55,33,22,2,0,95,30,5.29,4.0,95.17,Half Day,Partial
REC000044,EMP004,Employee 004,Team A,Document Verification,2026-07-02,Night,144,87,57,3,2,95,83,5.98,8.0,96.7,Present,Partial
REC000045,EMP005,Employee 005,Team A,Document Verification,2026-07-02,Night,196,118,78,1,2,95,114,4.68,7.5,99.04,Late,Partial
REC000046,EMP006,Employee 006,Team A,Document Verification,2026-07-02,Afternoon,174,105,69,5,2,95,94,5.22,8.0,95.64,Present,Partial
REC000047,EMP007,Employee 007,Team A,Document Verification,2026-07-02,General,81,49,32,5,0,95,44,7.43,8.0,90.26,Present,Partial
REC000048,EMP008,Employee 008,Team A,Document Verification,2026-07-02,General,179,108,71,4,1,95,96,3.87,8.0,96.48,Present,Partial
REC000049,EMP009,Employee 009,Team A,Document Verification,2026-07-02,General,101,61,40,6,2,95,52,5.77,8.0,90.06,Present,Partial
REC000050,EMP010,Employee 010,Team A,Document Verification,2026-07-02,General,212,130,82,0,5,95,123,4.34,8.0,99.75,Present,Partial
REC000051,EMP011,Employee 011,Team B,Data Entry,2026-07-02,General,168,94,74,2,2,95,89,4.57,8.0,97.93,Present,Partial
REC000052,EMP012,Employee 012,Team B,Data Entry,2026-07-02,Afternoon,190,105,85,1,2,95,97,3.33,8.0,99.49,Present,Partial
REC000053,EMP013,Employee 013,Team B,Data Entry,2026-07-02,Night,133,74,59,5,2,95,68,6.0,8.0,93.38,Present,Partial
REC000054,EMP014,Employee 014,Team B,Data Entry,2026-07-02,Morning,118,65,53,2,1,95,61,6.03,8.0,97.57,Present,Partial
REC000055,EMP015,Employee 015,Team B,Data Entry,2026-07-02,Night,105,58,47,5,0,95,45,4.78,8.0,90.64,Present,Partial
REC000056,EMP016,Employee 016,Team B,Data Entry,2026-07-02,Night,172,96,76,2,3,95,94,2.88,8.0,97.62,Present,Partial
REC000057,EMP017,Employee 017,Team B,Data Entry,2026-07-02,Afternoon,163,90,73,11,5,95,75,3.35,8.0,87.62,Present,Partial
REC000058,EMP018,Employee 018,Team B,Data Entry,2026-07-02,Morning,0,0,0,0,0,95,0,4.68,0.0,96.96,Leave,Pending
REC000059,EMP019,Employee 019,Team B,Data Entry,2026-07-02,Night,172,95,77,1,2,95,94,6.17,8.0,99.35,Present,Partial
REC000060,EMP020,Employee 020,Team B,Data Entry,2026-07-02,Afternoon,108,63,45,3,1,95,51,4.59,8.0,94.86,Present,Partial
REC000061,EMP021,Employee 021,Team C,Application Processing,2026-07-02,Afternoon,183,139,44,0,3,95,127,4.04,8.0,99.92,Present,Partial
REC000062,EMP022,Employee 022,Team C,Application Processing,2026-07-02,General,116,89,27,6,2,95,82,4.42,8.0,93.16,Present,Partial
REC000063,EMP023,Employee 023,Team C,Application Processing,2026-07-02,Night,164,125,39,0,1,95,120,4.05,8.0,99.68,Present,Partial
REC000064,EMP024,Employee 024,Team C,Application Processing,2026-07-02,Night,119,91,28,4,2,95,84,3.63,8.0,95.41,Present,Partial
REC000065,EMP025,Employee 025,Team C,Application Processing,2026-07-02,Afternoon,123,93,30,5,0,95,87,5.39,8.0,94.89,Present,Partial
REC000066,EMP026,Employee 026,Team C,Application Processing,2026-07-02,Afternoon,139,106,33,0,2,95,102,5.63,8.0,99.96,Present,Partial
REC000067,EMP027,Employee 027,Team C,Application Processing,2026-07-02,Afternoon,105,80,25,3,0,95,69,5.75,8.0,96.6,Present,Partial
REC000068,EMP028,Employee 028,Team C,Application Processing,2026-07-02,Morning,78,60,18,4,1,95,45,7.32,8.0,93.91,Present,Partial
REC000069,EMP029,Employee 029,Team C,Application Processing,2026-07-02,Morning,171,130,41,2,1,95,128,3.3,8.0,98.19,Present,Partial
REC000070,EMP030,Employee 030,Team C,Application Processing,2026-07-02,General,79,62,17,4,0,95,52,4.78,8.0,93.88,Present,Partial
REC000071,EMP031,Employee 031,Team D,Quality Review,2026-07-02,General,112,100,12,7,3,95,96,6.59,8.0,93.09,Present,Partial
REC000072,EMP032,Employee 032,Team D,Quality Review,2026-07-02,Afternoon,74,66,8,5,2,95,46,6.19,8.0,92.03,Present,Partial
REC000073,EMP033,Employee 033,Team D,Quality Review,2026-07-02,Morning,110,98,12,3,3,95,90,4.91,8.0,97.1,Present,Partial
REC000074,EMP034,Employee 034,Team D,Quality Review,2026-07-02,Night,90,80,10,6,5,95,69,5.12,8.0,92.58,Present,Partial
REC000075,EMP035,Employee 035,Team D,Quality Review,2026-07-02,Morning,111,99,12,3,3,95,87,5.02,8.0,96.54,Present,Partial
REC000076,EMP036,Employee 036,Team D,Quality Review,2026-07-02,Night,92,81,11,2,1,95,75,4.48,8.0,97.66,Present,Partial
REC000077,EMP037,Employee 037,Team D,Quality Review,2026-07-02,Afternoon,126,112,14,2,2,95,106,5.5,8.0,98.36,Present,Partial
REC000078,EMP038,Employee 038,Team D,Quality Review,2026-07-02,General,103,92,11,6,0,95,81,4.89,8.0,93.69,Present,Partial
REC000079,EMP039,Employee 039,Team D,Quality Review,2026-07-02,Morning,83,74,9,3,2,95,65,6.4,8.0,96.03,Present,Partial
REC000080,EMP040,Employee 040,Team D,Quality Review,2026-07-02,Night,83,74,9,5,1,95,67,7.67,8.0,93.22,Present,Partial
REC000081,EMP001,Employee 001,Team A,Document Verification,2026-07-03,General,0,0,0,0,0,95,0,5.17,0.0,95.66,Leave,Pending
REC000082,EMP002,Employee 002,Team A,Document Verification,2026-07-03,General,120,95,25,5,1,95,89,5.77,8.0,95.16,Present,Partial
REC000083,EMP003,Employee 003,Team A,Document Verification,2026-07-03,General,118,93,25,6,3,95,85,5.97,8.0,93.83,Present,Partial
REC000084,EMP004,Employee 004,Team A,Document Verification,2026-07-03,Night,112,88,24,4,3,95,83,5.83,8.0,95.87,Present,Partial
REC000085,EMP005,Employee 005,Team A,Document Verification,2026-07-03,Night,146,115,31,1,1,95,110,5.46,8.0,99.34,Present,Partial
REC000086,EMP006,Employee 006,Team A,Document Verification,2026-07-03,Afternoon,109,86,23,3,1,95,77,4.83,8.0,96.77,Present,Partial
REC000087,EMP007,Employee 007,Team A,Document Verification,2026-07-03,General,68,54,14,4,1,95,45,5.85,8.0,92.23,Present,Partial
REC000088,EMP008,Employee 008,Team A,Document Verification,2026-07-03,General,127,100,27,3,1,95,93,5.26,8.0,96.86,Present,Partial
REC000089,EMP009,Employee 009,Team A,Document Verification,2026-07-03,General,73,57,16,4,1,95,50,7.68,8.0,93.01,Present,Partial
REC000090,EMP010,Employee 010,Team A,Document Verification,2026-07-03,General,151,121,30,3,2,95,116,4.9,8.0,97.68,Present,Partial
REC000091,EMP011,Employee 011,Team B,Data Entry,2026-07-03,General,100,70,30,2,1,95,66,5.41,8.0,96.72,Present,Partial
REC000092,EMP012,Employee 012,Team B,Data Entry,2026-07-03,Afternoon,163,114,49,3,2,95,107,4.47,8.0,97.34,Present,Partial
REC000093,EMP013,Employee 013,Team B,Data Entry,2026-07-03,Night,136,95,41,2,2,95,83,6.65,8.0,97.59,Present,Partial
REC000094,EMP014,Employee 014,Team B,Data Entry,2026-07-03,Morning,129,90,39,5,2,95,80,3.14,8.0,94.24,Present,Partial
REC000095,EMP015,Employee 015,Team B,Data Entry,2026-07-03,Night,50,35,15,3,1,95,27,4.59,8.0,90.18,Present,Partial
REC000096,EMP016,Employee 016,Team B,Data Entry,2026-07-03,Night,173,121,52,2,4,95,117,4.68,8.0,98.55,Present,Partial
REC000097,EMP017,Employee 017,Team B,Data Entry,2026-07-03,Afternoon,98,69,29,6,3,95,59,4.4,8.0,91.12,Present,Partial
REC000098,EMP018,Employee 018,Team B,Data Entry,2026-07-03,Morning,99,69,30,3,1,95,63,6.35,8.0,95.34,Present,Partial
REC000099,EMP019,Employee 019,Team B,Data Entry,2026-07-03,Night,133,93,40,1,1,95,91,4.7,8.0,98.76,Present,Partial
REC000100,EMP020,Employee 020,Team B,Data Entry,2026-07-03,Afternoon,78,56,22,5,1,95,47,4.91,8.0,91.37,Present,Partial
REC000101,EMP021,Employee 021,Team C,Application Processing,2026-07-03,Afternoon,174,137,37,3,1,95,128,6.14,8.0,97.97,Present,Partial
REC000102,EMP022,Employee 022,Team C,Application Processing,2026-07-03,General,128,101,27,3,2,95,95,6.64,8.0,97.38,Present,Partial
REC000103,EMP023,Employee 023,Team C,Application Processing,2026-07-03,Night,155,122,33,1,2,95,120,4.24,7.5,98.87,Late,Partial
REC000104,EMP024,Employee 024,Team C,Application Processing,2026-07-03,Night,104,82,22,2,1,95,77,4.45,8.0,97.15,Present,Partial
REC000105,EMP025,Employee 025,Team C,Application Processing,2026-07-03,Afternoon,110,87,23,2,1,95,80,3.46,8.0,97.31,Present,Partial
REC000106,EMP026,Employee 026,Team C,Application Processing,2026-07-03,Afternoon,140,110,30,1,4,95,104,4.53,8.0,98.7,Present,Partial
REC000107,EMP027,Employee 027,Team C,Application Processing,2026-07-03,Afternoon,133,105,28,3,3,95,93,5.58,8.0,96.71,Present,Partial
REC000108,EMP028,Employee 028,Team C,Application Processing,2026-07-03,Morning,89,70,19,6,0,95,63,6.95,8.0,90.95,Present,Partial
REC000109,EMP029,Employee 029,Team C,Application Processing,2026-07-03,Morning,81,64,17,0,1,95,63,4.77,4.0,99.47,Half Day,Partial
REC000110,EMP030,Employee 030,Team C,Application Processing,2026-07-03,General,94,74,20,7,1,95,64,4.07,7.5,90.84,Late,Partial
REC000111,EMP031,Employee 031,Team D,Quality Review,2026-07-03,General,102,93,9,5,2,95,83,6.37,8.0,94.35,Present,Partial
REC000112,EMP032,Employee 032,Team D,Quality Review,2026-07-03,Afternoon,67,61,6,4,2,95,44,5.74,8.0,93.92,Present,Partial
REC000113,EMP033,Employee 033,Team D,Quality Review,2026-07-03,Morning,99,90,9,5,2,95,84,5.39,8.0,94.76,Present,Partial
REC000114,EMP034,Employee 034,Team D,Quality Review,2026-07-03,Night,97,89,8,8,2,95,85,3.41,8.0,91.07,Present,Partial
REC000115,EMP035,Employee 035,Team D,Quality Review,2026-07-03,Morning,115,105,10,6,3,95,101,6.16,8.0,94.57,Present,Partial
REC000116,EMP036,Employee 036,Team D,Quality Review,2026-07-03,Night,94,86,8,3,2,95,76,6.83,8.0,96.45,Present,Partial
REC000117,EMP037,Employee 037,Team D,Quality Review,2026-07-03,Afternoon,121,110,11,1,3,95,104,4.96,8.0,99.28,Present,Partial
REC000118,EMP038,Employee 038,Team D,Quality Review,2026-07-03,General,0,0,0,0,0,95,0,3.21,0.0,97.52,Leave,Pending
REC000119,EMP039,Employee 039,Team D,Quality Review,2026-07-03,Morning,116,105,11,4,1,95,97,7.0,8.0,96.35,Present,Partial
REC000120,EMP040,Employee 040,Team D,Quality Review,2026-07-03,Night,46,42,4,3,1,95,33,4.71,7.5,91.89,Late,Partial
REC000121,EMP001,Employee 001,Team A,Document Verification,2026-07-04,General,68,88,0,4,2,95,85,3.0,8.0,95.09,Present,Completed
REC000122,EMP002,Employee 002,Team A,Document Verification,2026-07-04,General,80,104,0,6,2,95,100,3.28,8.0,93.93,Present,Completed
REC000123,EMP003,Employee 003,Team A,Document Verification,2026-07-04,General,69,90,0,6,1,95,79,3.15,8.0,93.05,Present,Completed
REC000124,EMP004,Employee 004,Team A,Document Verification,2026-07-04,Night,73,94,0,4,2,95,85,4.59,8.0,95.4,Present,Completed
REC000125,EMP005,Employee 005,Team A,Document Verification,2026-07-04,Night,93,121,0,3,2,95,118,5.73,8.0,97.28,Present,Completed
REC000126,EMP006,Employee 006,Team A,Document Verification,2026-07-04,Afternoon,72,93,0,4,1,95,85,5.36,8.0,95.34,Present,Completed
REC000127,EMP007,Employee 007,Team A,Document Verification,2026-07-04,General,45,59,0,6,2,95,44,4.33,8.0,89.94,Present,Completed
REC000128,EMP008,Employee 008,Team A,Document Verification,2026-07-04,General,83,107,0,7,4,95,101,4.04,8.0,93.62,Present,Completed
REC000129,EMP009,Employee 009,Team A,Document Verification,2026-07-04,General,53,69,0,5,2,95,62,6.81,8.0,92.12,Present,Completed
REC000130,EMP010,Employee 010,Team A,Document Verification,2026-07-04,General,103,132,0,0,4,95,125,4.07,8.0,99.97,Present,Completed
REC000131,EMP011,Employee 011,Team B,Data Entry,2026-07-04,General,68,69,0,4,1,95,60,6.41,8.0,94.36,Present,Completed
REC000132,EMP012,Employee 012,Team B,Data Entry,2026-07-04,Afternoon,112,113,0,3,2,95,107,3.82,8.0,97.11,Present,Completed
REC000133,EMP013,Employee 013,Team B,Data Entry,2026-07-04,Night,104,105,0,7,3,95,92,5.13,8.0,93.03,Present,Completed
REC000134,EMP014,Employee 014,Team B,Data Entry,2026-07-04,Morning,93,94,0,2,1,95,90,6.97,8.0,97.81,Present,Completed
REC000135,EMP015,Employee 015,Team B,Data Entry,2026-07-04,Night,59,59,0,7,2,95,49,7.7,8.0,88.43,Present,Completed
REC000136,EMP016,Employee 016,Team B,Data Entry,2026-07-04,Night,111,112,0,1,2,95,111,5.53,8.0,98.99,Present,Completed
REC000137,EMP017,Employee 017,Team B,Data Entry,2026-07-04,Afternoon,52,52,0,4,1,95,44,3.42,4.0,92.6,Half Day,Completed
REC000138,EMP018,Employee 018,Team B,Data Entry,2026-07-04,Morning,95,96,0,3,1,95,92,6.85,8.0,96.49,Present,Completed
REC000139,EMP019,Employee 019,Team B,Data Entry,2026-07-04,Night,132,133,0,2,4,95,126,5.99,8.0,98.4,Present,Completed
REC000140,EMP020,Employee 020,Team B,Data Entry,2026-07-04,Afternoon,60,58,2,3,0,95,46,4.73,8.0,94.36,Present,Partial
REC000141,EMP021,Employee 021,Team C,Application Processing,2026-07-04,Afternoon,104,119,0,1,3,95,112,5.94,8.0,98.94,Present,Completed
REC000142,EMP022,Employee 022,Team C,Application Processing,2026-07-04,General,69,79,0,2,1,95,69,3.64,8.0,97.09,Present,Completed
REC000143,EMP023,Employee 023,Team C,Application Processing,2026-07-04,Night,104,119,0,2,4,95,113,6.01,8.0,98.41,Present,Completed
REC000144,EMP024,Employee 024,Team C,Application Processing,2026-07-04,Night,51,58,0,2,1,95,55,6.09,8.0,97.13,Present,Completed
REC000145,EMP025,Employee 025,Team C,Application Processing,2026-07-04,Afternoon,70,80,0,5,1,95,72,3.13,8.0,94.15,Present,Completed
REC000146,EMP026,Employee 026,Team C,Application Processing,2026-07-04,Afternoon,112,128,0,1,4,95,120,5.66,8.0,99.19,Present,Completed
REC000147,EMP027,Employee 027,Team C,Application Processing,2026-07-04,Afternoon,61,70,0,4,1,95,63,3.8,8.0,94.56,Present,Completed
REC000148,EMP028,Employee 028,Team C,Application Processing,2026-07-04,Morning,66,76,0,5,2,95,64,5.93,8.0,94.08,Present,Completed
REC000149,EMP029,Employee 029,Team C,Application Processing,2026-07-04,Morning,112,129,0,3,2,95,123,3.23,8.0,97.48,Present,Completed
REC000150,EMP030,Employee 030,Team C,Application Processing,2026-07-04,General,41,45,0,4,0,95,39,5.59,8.0,91.71,Present,Completed
REC000151,EMP031,Employee 031,Team D,Quality Review,2026-07-04,General,86,94,0,6,1,95,87,3.07,8.0,93.73,Present,Completed
REC000152,EMP032,Employee 032,Team D,Quality Review,2026-07-04,Afternoon,64,70,0,6,1,95,53,7.34,8.0,91.38,Present,Completed
REC000153,EMP033,Employee 033,Team D,Quality Review,2026-07-04,Morning,78,85,0,4,3,95,75,6.3,8.0,95.67,Present,Completed
REC000154,EMP034,Employee 034,Team D,Quality Review,2026-07-04,Night,68,74,0,8,4,95,67,3.16,8.0,89.82,Present,Completed
REC000155,EMP035,Employee 035,Team D,Quality Review,2026-07-04,Morning,94,103,0,4,3,95,91,6.58,8.0,96.35,Present,Completed
REC000156,EMP036,Employee 036,Team D,Quality Review,2026-07-04,Night,33,36,0,1,1,95,33,4.2,4.0,95.97,Half Day,Completed
REC000157,EMP037,Employee 037,Team D,Quality Review,2026-07-04,Afternoon,115,125,0,0,4,95,117,5.06,8.0,99.81,Present,Completed
REC000158,EMP038,Employee 038,Team D,Quality Review,2026-07-04,General,92,101,0,4,2,95,94,6.14,7.5,96.3,Late,Completed
REC000159,EMP039,Employee 039,Team D,Quality Review,2026-07-04,Morning,105,115,0,5,1,95,102,4.75,8.0,95.4,Present,Completed
REC000160,EMP040,Employee 040,Team D,Quality Review,2026-07-04,Night,3,4,0,0,0,95,3,6.03,0.0,93.07,Absent,Completed
REC000161,EMP001,Employee 001,Team A,Document Verification,2026-07-05,General,91,104,0,5,2,95,96,5.35,8.0,95.52,Present,Completed
REC000162,EMP002,Employee 002,Team A,Document Verification,2026-07-05,General,77,88,0,6,1,95,82,5.39,8.0,93.15,Present,Completed
REC000163,EMP003,Employee 003,Team A,Document Verification,2026-07-05,General,65,74,0,2,2,95,71,4.14,8.0,96.96,Present,Completed
REC000164,EMP004,Employee 004,Team A,Document Verification,2026-07-05,Night,81,92,0,5,1,95,84,6.34,8.0,94.8,Present,Completed
REC000165,EMP005,Employee 005,Team A,Document Verification,2026-07-05,Night,99,113,0,3,3,95,109,4.95,8.0,97.71,Present,Completed
REC000166,EMP006,Employee 006,Team A,Document Verification,2026-07-05,Afternoon,68,77,0,4,1,95,68,4.75,8.0,94.86,Present,Completed
REC000167,EMP007,Employee 007,Team A,Document Verification,2026-07-05,General,44,50,0,6,1,95,42,6.48,8.0,88.68,Present,Completed
REC000168,EMP008,Employee 008,Team A,Document Verification,2026-07-05,General,66,75,0,5,2,95,68,4.6,8.0,93.48,Present,Completed
REC000169,EMP009,Employee 009,Team A,Document Verification,2026-07-05,General,48,55,0,3,0,95,46,6.29,7.5,94.01,Late,Completed
REC000170,EMP010,Employee 010,Team A,Document Verification,2026-07-05,General,121,135,0,3,2,95,134,4.44,8.0,97.71,Present,Completed
REC000171,EMP011,Employee 011,Team B,Data Entry,2026-07-05,General,80,73,7,5,2,95,68,4.59,8.0,93.52,Present,Partial
REC000172,EMP012,Employee 012,Team B,Data Entry,2026-07-05,Afternoon,141,128,13,2,3,95,117,6.46,8.0,98.44,Present,Partial
REC000173,EMP013,Employee 013,Team B,Data Entry,2026-07-05,Night,75,68,7,4,1,95,61,5.13,7.5,94.27,Late,Partial
REC000174,EMP014,Employee 014,Team B,Data Entry,2026-07-05,Morning,107,98,9,6,1,95,87,6.76,8.0,93.63,Present,Partial
REC000175,EMP015,Employee 015,Team B,Data Entry,2026-07-05,Night,77,70,7,5,1,95,54,6.58,8.0,93.13,Present,Partial
REC000176,EMP016,Employee 016,Team B,Data Entry,2026-07-05,Night,147,134,13,3,5,95,129,5.06,8.0,97.7,Present,Partial
REC000177,EMP017,Employee 017,Team B,Data Entry,2026-07-05,Afternoon,74,68,6,6,3,95,61,6.18,8.0,90.82,Present,Partial
REC000178,EMP018,Employee 018,Team B,Data Entry,2026-07-05,Morning,40,36,4,1,1,95,34,6.31,4.0,97.59,Half Day,Partial
REC000179,EMP019,Employee 019,Team B,Data Entry,2026-07-05,Night,132,120,12,1,3,95,116,3.2,8.0,99.0,Present,Partial
REC000180,EMP020,Employee 020,Team B,Data Entry,2026-07-05,Afternoon,54,51,3,5,1,95,44,4.15,8.0,90.23,Present,Partial
REC000181,EMP021,Employee 021,Team C,Application Processing,2026-07-05,Afternoon,145,132,13,2,5,95,124,6.01,8.0,98.63,Present,Partial
REC000182,EMP022,Employee 022,Team C,Application Processing,2026-07-05,General,0,0,0,0,0,95,0,4.91,0.0,93.74,Leave,Pending
REC000183,EMP023,Employee 023,Team C,Application Processing,2026-07-05,Night,0,0,0,0,0,95,0,5.45,0.0,98.18,Absent,Pending
REC000184,EMP024,Employee 024,Team C,Application Processing,2026-07-05,Night,82,75,7,2,1,95,72,3.29,8.0,97.11,Present,Partial
REC000185,EMP025,Employee 025,Team C,Application Processing,2026-07-05,Afternoon,87,79,8,2,2,95,70,4.92,8.0,97.77,Present,Partial
REC000186,EMP026,Employee 026,Team C,Application Processing,2026-07-05,Afternoon,137,125,12,3,1,95,118,5.11,8.0,97.58,Present,Partial
REC000187,EMP027,Employee 027,Team C,Application Processing,2026-07-05,Afternoon,89,82,7,4,2,95,69,4.6,8.0,95.66,Present,Partial
REC000188,EMP028,Employee 028,Team C,Application Processing,2026-07-05,Morning,71,65,6,3,2,95,54,4.85,8.0,94.84,Present,Partial
REC000189,EMP029,Employee 029,Team C,Application Processing,2026-07-05,Morning,108,99,9,1,1,95,95,5.9,8.0,99.4,Present,Partial
REC000190,EMP030,Employee 030,Team C,Application Processing,2026-07-05,General,76,69,7,4,1,95,52,7.14,8.0,94.42,Present,Partial
REC000191,EMP031,Employee 031,Team D,Quality Review,2026-07-05,General,52,68,0,4,1,95,61,3.82,8.0,93.89,Present,Completed
REC000192,EMP032,Employee 032,Team D,Quality Review,2026-07-05,Afternoon,49,64,0,5,1,95,53,4.34,8.0,92.47,Present,Completed
REC000193,EMP033,Employee 033,Team D,Quality Review,2026-07-05,Morning,86,113,0,5,3,95,103,4.78,8.0,95.99,Present,Completed
REC000194,EMP034,Employee 034,Team D,Quality Review,2026-07-05,Night,64,84,0,6,4,95,77,6.62,8.0,92.58,Present,Completed
REC000195,EMP035,Employee 035,Team D,Quality Review,2026-07-05,Morning,74,98,0,3,1,95,91,5.38,8.0,96.86,Present,Completed
REC000196,EMP036,Employee 036,Team D,Quality Review,2026-07-05,Night,78,102,0,5,2,95,92,5.47,8.0,95.01,Present,Completed
REC000197,EMP037,Employee 037,Team D,Quality Review,2026-07-05,Afternoon,110,144,0,2,5,95,138,5.25,8.0,98.33,Present,Completed
REC000198,EMP038,Employee 038,Team D,Quality Review,2026-07-05,General,58,76,0,3,2,95,68,4.83,8.0,95.96,Present,Completed
